                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,                 4.1672,                 7.1543,                 5.0862,                 5.4209,              0.0034104,                    0.9,               0.027958,              0.0050105,             0.00066756,                    0.1,              0.0004302,             8.6039e-05,                      0,                      0,                      0,                      0,                 0.0874,                 0.0014,                 0.0014
                      1,                 4.0951,                 6.8004,                 5.0821,                 5.4364,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.073871,              0.0028713,              0.0028713
                      2,                 4.2595,                 6.6825,                  4.906,                 5.4235,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.060313,              0.0043129,              0.0043129
                      3,                 4.1345,                  8.479,                  5.149,                 5.5164,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.046725,              0.0057248,              0.0057248
                      4,                 4.1548,                 7.5452,                 4.9352,                 5.4231,              0.0031572,                    0.9,               0.015381,              0.0029378,             0.00058962,                    0.1,             0.00040461,             8.0923e-05,                      0,                      0,                      0,                      0,               0.033107,               0.007107,               0.007107
                      5,                 4.1061,                 7.9416,                 4.9986,                 5.5308,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.019459,              0.0084594,              0.0084594
                      6,                 4.0892,                 5.7922,                 5.0368,                 5.4555,              0.0037757,                      1,               0.015696,              0.0026041,             0.00059666,                    0.1,             0.00041764,             4.1764e-05,                      0,                      0,                      0,                      0,               0.009406,               0.009406,               0.009406
                      7,                 4.1916,                 5.8346,                 4.9845,                   5.45,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009406,               0.009406,               0.009406
                      8,                 4.0894,                 4.2234,                 4.9919,                 5.3771,              0.0035693,                      1,               0.017078,              0.0026992,             0.00054466,                    0.1,             0.00033344,             6.6687e-05,                      0,                      0,                      0,                      0,               0.009307,               0.009307,               0.009307
                      9,                 4.2037,                 4.7153,                 5.0879,                 5.4436,              0.0035648,                      1,               0.042946,              0.0054748,               0.001087,                    0.2,             0.00079459,              0.0001129,                      0,                      0,                      0,                      0,               0.009208,               0.009208,               0.009208
                     10,                 4.0951,                  4.783,                 4.8673,                 5.4462,              0.0035648,                      1,               0.042946,              0.0054748,               0.001087,                    0.2,             0.00079459,              0.0001129,                      0,                      0,                      0,                      0,               0.009109,               0.009109,               0.009109
                     11,                 4.1312,                 4.4351,                 5.0407,                 5.4402,               0.032682,                    0.3,               0.032605,              0.0070963,             0.00090744,                    0.2,              0.0006375,             9.1483e-05,                      0,                      0,                      0,                      0,                0.00901,                0.00901,                0.00901
                     12,                 4.1969,                 4.3117,                 4.9558,                 5.5044,                0.55556,                    0.1,               0.040179,              0.0068307,             0.00080192,                    0.2,             0.00058926,             0.00010849,                      0,                      0,                      0,                      0,               0.008911,               0.008911,               0.008911
                     13,                 4.2913,                 4.0466,                 5.0721,                 5.4053,               0.010463,                   0.55,               0.010802,              0.0034728,              0.0012895,                    0.1,              0.0011523,              0.0001888,                      0,                      0,                      0,                      0,               0.008812,               0.008812,               0.008812
