               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              1.0262,              4.5526,              1.1701,             0.32243,            0.054641,              0.1034,            0.081687,             0.57766,              4.1461,             0.92509,              0.0937,              0.0007,              0.0007
                   1,             0.90256,              4.0247,              1.1081,             0.64284,             0.22614,             0.28149,             0.25354,             0.48985,              2.6798,             0.89373,            0.086495,            0.001495,            0.001495
                   2,             0.76597,              2.7273,              1.0622,             0.59152,             0.37587,             0.37918,             0.35498,             0.43166,              2.8626,             0.87408,            0.079285,           0.0022848,           0.0022848
                   3,             0.71013,               2.075,              1.0564,             0.63192,             0.50819,             0.50298,             0.46042,              0.3838,                1.73,             0.84713,            0.072069,           0.0030693,           0.0030693
                   4,             0.67188,              1.3973,              0.9976,             0.54726,             0.56193,              0.6006,             0.56703,             0.39774,              1.5375,             0.84031,            0.064849,           0.0038485,           0.0038485
                   5,             0.64882,               1.245,             0.99651,             0.64788,             0.76323,             0.72456,             0.68602,             0.39073,              1.5028,             0.83929,            0.057622,           0.0046225,           0.0046225
                   6,             0.69394,              1.1353,             0.98512,             0.64307,             0.80527,             0.73731,             0.66802,             0.46739,              1.0391,             0.84918,            0.050391,           0.0053911,           0.0053911
                   7,             0.66537,               1.073,             0.97528,             0.74617,             0.61298,             0.72729,             0.65996,             0.41792,              1.0034,              0.8428,            0.043154,           0.0061545,           0.0061545
                   8,             0.78307,              1.1338,              1.0002,             0.67324,             0.80033,             0.78535,              0.6929,              0.5875,             0.83113,             0.85692,            0.035913,           0.0069126,           0.0069126
                   9,             0.73221,              1.0152,             0.96749,             0.58202,             0.78998,             0.74239,             0.65664,             0.50589,             0.94038,             0.86045,            0.028665,           0.0076654,           0.0076654
                  10,             0.69708,              1.0806,             0.98455,             0.65968,             0.89858,             0.81094,             0.73589,             0.50291,             0.90499,             0.86027,            0.021413,           0.0084129,           0.0084129
                  11,             0.76817,             0.90482,             0.93647,             0.69099,             0.82787,             0.78954,             0.67927,             0.67822,             0.86376,             0.87554,            0.014155,           0.0091552,           0.0091552
                  12,             0.80804,             0.91333,             0.96428,             0.79797,             0.71135,             0.73866,             0.64329,             0.61846,             0.83076,             0.87901,            0.009604,            0.009604,            0.009604
