Class,Confidence,Center 3D Coordinates
5ML_sorting_tube_rack,0.7296051979064941,"[440.0, -4.0, 1042.0]"
refrigerator_close,0.7029673457145691,"[21.0, -404.0, 1436.0]"
5ML_centrifuge_tube,0.5776792168617249,"[-408.0, -110.0, 592.0]"
5ML_centrifuge_tube,0.5588102340698242,"[-389.0, -115.0, 593.0]"
centrifuge_close,0.4838184714317322,"[336.0, -231.0, 1331.0]"
5ML_sorting_tube_rack,0.4241790473461151,"[31.0, -100.0, 1251.0]"
10ML_centrifuge_tube,0.29826658964157104,"[-488.0, -180.0, 1376.0]"
5ML_centrifuge_tube,0.2809877097606659,"[1411.0, -406.0, 2357.0]"
refrigerator_close,0.9469851851463318,"[23.0, -432.0, 1537.0]"
centrifuge_close,0.8893156051635742,"[316.0, -216.0, 1252.0]"
5ML_sorting_tube_rack,0.8128548264503479,"[-454.0, -462.0, 1748.0]"
blood_tube,0.7925266623497009,"[232.0, 196.0, 1039.0]"
10ML_centrifuge_tube,0.7577311396598816,"[-499.0, -191.0, 1404.0]"
blood_tube,0.6152646541595459,"[92.0, 120.0, 1132.0]"
10ML_centrifuge_tube,0.5743005871772766,"[-43.0, 57.0, 1051.0]"
5ML_sorting_tube_rack,0.5582818388938904,"[-326.0, 130.0, 522.0]"
dispensing_tube_rack,0.44994744658470154,"[-151.0, 92.0, 1142.0]"
10ML_centrifuge_tube,0.3886595368385315,"[-581.0, -98.0, 1331.0]"
5ML_centrifuge_tube,0.3553168773651123,"[222.0, 285.0, 924.0]"
10ML_centrifuge_tube,0.3395886719226837,"[96.0, 255.0, 965.0]"
refrigerator_close,0.9507689476013184,"[24.0, -443.0, 1575.0]"
centrifuge_close,0.896825909614563,"[317.0, -218.0, 1255.0]"
blood_tube,0.8099631667137146,"[233.0, 196.0, 1040.0]"
10ML_centrifuge_tube,0.6813249588012695,"[-500.0, -191.0, 1406.0]"
dispensing_tube_rack,0.6672859787940979,"[-149.0, 93.0, 1138.0]"
blood_tube,0.6053587198257446,"[92.0, 119.0, 1135.0]"
10ML_centrifuge_tube,0.5942845344543457,"[-43.0, 57.0, 1051.0]"
5ML_sorting_tube_rack,0.5849006772041321,"[-457.0, -466.0, 1760.0]"
