Class,Confidence,Bounding Box,Center Simulation XYZ,Corner 1 Simulation XYZ,Corner 2 Simulation XYZ,Corner 3 Simulation XYZ,Corner 4 Simulation XYZ
5ML_sorting_tube_rack,0.7549139261245728,"[573.0, 269.0, 646.0, 391.0]",[    0.60243   -0.027768    0.078264],[    0.67281     -0.1784    0.034268],[    0.55159     -0.2369    -0.03475],[    0.65732    0.042397   0.0069416],[     0.5424    0.029331  -0.0078256]
5ML_sorting_tube_rack,0.7447490096092224,"[332.0, 0.0, 552.0, 175.0]",[    0.93846    -0.54125    0.096269],,,,[    0.73207    -0.41751   0.0052887]
5ML_sorting_tube_rack,0.7434549331665039,"[701.0, 496.0, 807.0, 617.0]",[     0.3864     0.32579    0.068789],[    0.45505     0.21563    0.011278],[    0.31329      0.2443     0.08914],[    0.45406     0.39199   0.0036753],[    0.31137     0.39197    0.021615]
5ML_sorting_tube_rack,0.7036512494087219,"[643.0, 1.0, 791.0, 167.0]",[    0.43834    -0.49157     0.16513],,[     0.4287     0.12921     0.78891],[    0.56511    -0.45582  -0.0062717],[      0.288    -0.46122  7.1087e-05]
5ML_sorting_tube_rack,0.6603676676750183,"[801.0, 462.0, 890.0, 620.0]",[    0.29468     0.35767     0.21732],[    0.30044     0.14248   -0.013708],[    0.16683     0.14262  -0.0028052],[    0.31736     0.39216   0.0074358],[    0.18975     0.38134   -0.013638]
5ML_sorting_tube_rack,0.6194972395896912,"[696.0, 0.0, 1280.0, 717.0]",[   0.056009    0.052997     0.15885],[    0.50435     0.13377     0.79072],[   0.038684     0.11231     0.79015],,[   -0.80903     0.33164    -0.76507]
5ML_sorting_tube_rack,0.5987895727157593,"[739.0, 270.0, 804.0, 376.0]",[    0.35304   -0.038897    0.095669],[     0.3897    -0.21642  -0.0027816],[    0.27783    -0.21724   0.0019724],[    0.39541   0.0079953    0.012757],[    0.29025  -0.0018801    0.003217]
5ML_sorting_tube_rack,0.5429548621177673,"[299.0, 250.0, 404.0, 407.0]",[    0.99722  -0.0076277    0.090404],,[    0.97483    -0.23303   0.0021229],[     1.0686     0.10307    0.035273],[    0.92689    0.066404   -0.020567]
5ML_sorting_tube_rack,0.453323096036911,"[483.0, 455.0, 569.0, 564.0]",[    0.68285     0.32074      0.1919],[    0.78741     0.15259  -0.0069059],,,[     0.6411     0.32439   0.0062274]
10ML_centrifuge_tube,0.3345257639884949,"[868.0, 25.0, 1007.0, 122.0]",[   0.055255    -0.52518     0.17454],[   -0.16533     -1.9319    -0.80478],,[    0.16246    -0.48359    0.095908],[   0.091884     -0.1265     0.43425]
5ML_centrifuge_tube,0.3136847913265228,"[868.0, 26.0, 1007.0, 121.0]",[   0.055255    -0.52518     0.17454],[   -0.16544      -1.929    -0.80662],,[    0.16141    -0.48892    0.093328],
5ML_centrifuge_tube,0.28372400999069214,"[718.0, 495.0, 767.0, 520.0]",[    0.39446     0.22803   0.0049916],[    0.42813     0.20207   -0.013671],[    0.35225     0.19171   -0.030727],[    0.43407     0.27239    0.060407],[    0.36644     0.27156     0.06464]
5ML_sorting_tube_rack,0.9340161085128784,"[573.0, 267.0, 645.0, 391.0]",[    0.60237   -0.027965    0.080744],,[    0.55308    -0.22564   -0.014642],[    0.66266    0.013413   -0.043265],[    0.54389    0.033407   -0.000916]
5ML_sorting_tube_rack,0.8898125290870667,"[332.0, 0.0, 553.0, 175.0]",[     0.9439    -0.55836    0.081098],,[    0.94247     -2.0458    -0.82448],[     1.5229     -1.1323    -0.77931],[    0.73425    -0.44067   -0.019119]
5ML_sorting_tube_rack,0.8487032055854797,"[249.0, 407.0, 385.0, 582.0]",[    0.99431     0.25963     0.07197],[     1.6046     -0.3799    -0.86727],[    0.95715     0.06746   -0.020779],,[    0.90179     0.35347   -0.013971]
