Class,Confidence,Bounding Box,Center 3D Coordinates,Corner 1 Coordinates,Corner 2 Coordinates,Corner 3 Coordinates,Corner 4 Coordinates
5ML_sorting_tube_rack,0.7669140696525574,"[701.0, 495.0, 807.0, 617.0]","[145.0, 263.0, 1230.0]","[80.0, 196.0, 1339.0]","[221.0, 184.0, 1255.0]","[75.0, 350.0, 1246.0]","[218.0, 347.0, 1236.0]"
5ML_sorting_tube_rack,0.7618736028671265,"[573.0, 269.0, 645.0, 390.0]","[-58.0, -51.0, 1416.0]","[-123.0, -155.0, 1523.0]","[-2.0, -161.0, 1582.0]","[-117.0, 45.0, 1448.0]","[-2.0, 45.0, 1462.0]"
5ML_sorting_tube_rack,0.7554238438606262,"[332.0, 0.0, 552.0, 174.0]","[-381.0, -512.0, 1695.0]","(0, 0)","[-339.0, -1300.0, 3271.0]","(0, 0)","[-178.0, -353.0, 1713.0]"
5ML_sorting_tube_rack,0.7001453638076782,"[643.0, 1.0, 792.0, 168.0]","[119.0, -469.0, 1537.0]","(0, 0)","[116.0, -286.0, 722.0]","[-6.0, -365.0, 1713.0]","[277.0, -369.0, 1733.0]"
5ML_sorting_tube_rack,0.6761767268180847,"[801.0, 461.0, 890.0, 620.0]","[237.0, 213.0, 1088.0]","[237.0, 152.0, 1396.0]","[373.0, 152.0, 1392.0]","[212.0, 354.0, 1248.0]","[339.0, 359.0, 1266.0]"
5ML_sorting_tube_rack,0.616134524345398,"[705.0, 0.0, 1280.0, 715.0]","[486.0, -7.0, 1279.0]","[46.0, -286.0, 719.0]","[507.0, -290.0, 729.0]","(0, 0)","[1378.0, 769.0, 1982.0]"
5ML_sorting_tube_rack,0.5934097766876221,"[300.0, 249.0, 404.0, 408.0]","[-453.0, -52.0, 1400.0]","(0, 0)","[-425.0, -198.0, 1595.0]","[-530.0, 71.0, 1392.0]","(0, 0)"
5ML_sorting_tube_rack,0.5846496224403381,"[739.0, 270.0, 804.0, 376.0]","[194.0, -60.0, 1420.0]","[160.0, -159.0, 1575.0]","[271.0, -158.0, 1563.0]","[147.0, 23.0, 1448.0]","[255.0, 23.0, 1473.0]"
5ML_sorting_tube_rack,0.4642520844936371,"[254.0, 407.0, 380.0, 596.0]","[-457.0, 193.0, 1263.0]","(0, 0)","[-425.0, 72.0, 1450.0]","[-539.0, 322.0, 1249.0]","(0, 0)"
5ML_sorting_tube_rack,0.46340417861938477,"[483.0, 455.0, 569.0, 565.0]","[-149.0, 183.0, 1123.0]","[-247.0, 141.0, 1377.0]","(0, 0)","(0, 0)","[-110.0, 288.0, 1289.0]"
10ML_centrifuge_tube,0.3821302056312561,"[868.0, 25.0, 1007.0, 122.0]","[508.0, -505.0, 1592.0]","[749.0, -1137.0, 3074.0]","(0, 0)","[399.0, -432.0, 1638.0]","(0, 0)"
5ML_centrifuge_tube,0.25676971673965454,"[718.0, 495.0, 767.0, 520.0]","[141.0, 215.0, 1347.0]","[107.0, 199.0, 1357.0]","[183.0, 202.0, 1381.0]","[100.0, 222.0, 1274.0]","[169.0, 222.0, 1279.0]"
5ML_sorting_tube_rack,0.9270707368850708,"[573.0, 267.0, 645.0, 391.0]","[-58.0, -51.0, 1420.0]","(0, 0)","[-2.0, -166.0, 1595.0]","[-120.0, 48.0, 1488.0]","[-2.0, 47.0, 1452.0]"
